Date,BBAS3,SELIC,Cambio,IPCA
2017-05-04,9.738540649414062,0.1125,3.1774,0.035971291337952405
2017-05-05,9.964249610900879,0.1125,3.1758,0.035971291337952405
2017-05-08,9.714466094970703,0.1125,3.1932,0.035971291337952405
2017-05-09,9.750580787658691,0.1125,3.1851,0.035971291337952405
2017-05-10,10.036476135253906,0.1125,3.16,0.035971291337952405
2017-05-11,10.349459648132324,0.1125,3.1553,0.035971291337952405
2017-05-12,10.650402069091797,0.1125,3.1284,0.035971291337952405
2017-05-15,10.457794189453125,0.1125,3.1005,0.035971291337952405
2017-05-16,10.457794189453125,0.1125,3.0918,0.035971291337952405
2017-05-17,10.174912452697754,0.1125,3.107,0.035971291337952405
2017-05-18,8.14955997467041,0.1125,3.3756,0.035971291337952405
2017-05-19,8.42040729522705,0.1125,3.2872,0.035971291337952405
